team_id,Row.names,FG%,3P%,TRB,AST,STL,BLK,TOV,PF,PTS,opFG%,op3P%,opTRB,opAST,opSTL,opBLK,opTOV,opPF,opPTS
1,Atlanta Hawks,0.47,0.374,0.2777777777777777,0.4354838709677422,0.23529411764705874,0.30303030303030304,1.0,0.7272727272727273,0.8360655737704918,0.471,0.364,0.6617647058823533,0.24000000000000055,0.8620689655172413,0.6521739130434783,0.2045454545454546,0.5813953488372092,0.42335766423357635
2,Boston Celtics,0.466,0.356,0.5694444444444444,0.4677419354838711,0.23529411764705874,0.7878787878787878,0.6304347826086958,0.7727272727272727,0.6639344262295076,0.434,0.339,0.691176470588235,1.0,0.689655172413793,0.6086956521739133,0.4318181818181819,0.3720930232558134,1.0
3,Brooklyn Nets,0.475,0.361,0.333333333333333,0.5483870967741936,0.20588235294117624,0.6969696969696969,0.5217391304347827,0.34090909090909105,0.7540983606557378,0.452,0.345,0.6323529411764705,0.5600000000000002,0.5517241379310343,0.4782608695652173,0.31818181818181823,0.4418604651162787,0.4452554744525553
4,Charlotte Hornets,0.468,0.365,0.36111111111111116,1.0,0.6470588235294115,0.5151515151515152,0.6956521739130435,0.4545454545454547,0.9508196721311468,0.466,0.362,0.2058823529411763,0.02000000000000024,0.689655172413793,0.6086956521739133,0.7045454545454544,0.4186046511627908,0.24087591240875883
5,Chicago Bulls,0.48,0.369,0.041666666666666255,0.32258064516129015,0.20588235294117624,0.2727272727272726,0.8043478260869564,0.7045454545454544,0.6475409836065565,0.474,0.366,0.7647058823529409,0.3200000000000003,0.8275862068965517,0.4347826086956522,0.27272727272727254,0.09302325581395314,0.45255474452554756
6,Cleveland Cavaliers,0.469,0.355,0.3055555555555558,0.5322580645161289,0.20588235294117624,0.30303030303030304,0.4565217391304347,1.0,0.33606557377049123,0.452,0.353,0.808823529411765,0.5,0.3793103448275861,0.6086956521739133,0.3409090909090909,0.511627906976744,0.9124087591240874
7,Dallas Mavericks,0.461,0.35,0.13888888888888884,0.24193548387096764,0.088235294117647,0.24242424242424238,0.8695652173913044,0.5,0.3524590163934423,0.457,0.34,0.7058823529411764,0.6200000000000003,0.8620689655172413,1.0,0.27272727272727254,0.5348837209302326,0.9854014598540144
8,Denver Nuggets,0.483,0.353,0.29166666666666674,0.9516129032258064,0.23529411764705874,0.15151515151515152,0.4347826086956522,0.43181818181818166,0.7377049180327867,0.47,0.346,0.882352941176471,0.24000000000000055,0.5517241379310343,0.5217391304347827,0.2045454545454546,0.48837209302325524,0.5693430656934304
9,Detroit Pistons,0.431,0.326,0.13888888888888884,0.25806451612903236,0.3823529411764705,0.48484848484848475,0.5000000000000002,0.0,0.09016393442622903,0.473,0.362,0.30882352941176505,0.30000000000000004,0.7241379310344825,0.34782608695652173,0.6136363636363634,0.4651162790697674,0.4160583941605841
10,Golden State Warriors,0.469,0.364,0.48611111111111094,0.8387096774193549,0.7058823529411765,0.3939393939393939,0.34782608695652173,0.20454545454545425,0.5983606557377046,0.438,0.339,0.8529411764705882,0.7400000000000005,0.5517241379310343,0.9130434782608696,0.5909090909090908,0.04651162790697657,0.927007299270073
11,Houston Rockets,0.456,0.349,0.0,0.2741935483870971,0.264705882352941,0.4545454545454546,0.0,0.29545454545454486,0.49180327868852447,0.483,0.353,0.39705882352941135,0.19999999999999996,0.0,0.08695652173913049,0.4999999999999998,1.0,0.0
12,Indiana Pacers,0.463,0.344,0.26388888888888856,0.5645161290322578,0.20588235294117624,0.7272727272727272,0.4565217391304347,0.34090909090909105,0.6393442622950816,0.483,0.372,0.7794117647058822,0.30000000000000004,0.48275862068965525,0.4782608695652173,0.31818181818181823,0.32558139534883684,0.24087591240875883
13,Los Angeles Clippers,0.458,0.374,0.2777777777777777,0.3387096774193549,0.2941176470588235,0.5454545454545454,0.6086956521739133,0.7499999999999996,0.3852459016393444,0.45,0.345,0.19117647058823495,0.5,0.6206896551724137,0.8260869565217394,0.3863636363636362,0.16279069767441842,0.7153284671532842
14,Los Angeles Lakers,0.469,0.347,0.2777777777777777,0.3387096774193549,0.352941176470588,0.6060606060606061,0.4347826086956522,0.38636363636363635,0.6885245901639335,0.47,0.352,0.2647058823529409,0.060000000000000164,0.4137931034482756,0.8260869565217394,0.4772727272727271,0.5348837209302326,0.22627737226277433
15,Memphis Grizzlies,0.461,0.353,1.0,0.6612903225806451,1.0,1.0,0.7173913043478263,0.47727272727272696,0.9754098360655729,0.455,0.349,0.7941176470588236,0.3200000000000003,0.7931034482758619,0.0,0.7272727272727271,0.4651162790697674,0.6058394160583938
16,Miami Heat,0.467,0.379,0.2361111111111114,0.5806451612903225,0.2941176470588235,0.0,0.4130434782608696,0.318181818181818,0.5163934426229505,0.447,0.339,0.9852941176470587,0.6600000000000001,0.7241379310344825,0.8695652173913044,0.7045454545454544,0.6511627906976745,0.9197080291970807
17,Milwaukee Bucks,0.468,0.366,0.6527777777777779,0.32258064516129015,0.352941176470588,0.24242424242424238,0.6739130434782609,0.840909090909091,0.9672131147540979,0.456,0.356,0.6323529411764705,0.14000000000000057,0.7241379310344825,0.6956521739130435,0.2499999999999999,0.4418604651162787,0.4452554744525553
18,Minnesota Timberwolves,0.457,0.358,0.3055555555555558,0.6129032258064514,0.7058823529411765,0.7272727272727272,0.4782608695652173,0.022727272727272263,1.0,0.46,0.35,0.36764705882352955,0.0800000000000004,0.7931034482758619,0.5217391304347827,1.0,0.7209302325581389,0.3576642335766427
19,New Orleans Pelicans,0.457,0.332,0.44444444444444464,0.5,0.5588235294117647,0.24242424242424238,0.5217391304347827,0.5,0.45901639344262235,0.471,0.365,0.9705882352941183,0.3400000000000005,0.7241379310344825,0.5217391304347827,0.5227272727272725,0.6279069767441858,0.5766423357664237
20,New York Knicks,0.437,0.357,0.5694444444444444,0.0,0.176470588235294,0.5151515151515152,0.6956521739130435,0.34090909090909105,0.22950819672131118,0.447,0.342,0.7058823529411764,0.4800000000000004,0.8620689655172413,0.6086956521739133,0.18181818181818157,0.6046511627906971,0.8467153284671537
21,Oklahoma City Thunder,0.43,0.323,0.5,0.048387096774193644,0.352941176470588,0.4242424242424241,0.5434782608695652,0.8181818181818179,0.0,0.458,0.353,0.0,0.09999999999999998,0.34482758620689646,0.0,0.2954545454545452,0.0,0.46715328467153316
22,Orlando Magic,0.434,0.331,0.3194444444444439,0.29032258064516125,0.11764705882352924,0.3939393939393939,0.4347826086956522,0.5,0.04098360655737704,0.458,0.363,0.19117647058823495,0.3600000000000001,0.5172413793103448,0.34782608695652173,0.2954545454545452,0.11627906976744184,0.43795620437956195
23,Philadelphia 76ers,0.466,0.364,0.041666666666666255,0.29032258064516125,0.3823529411764705,0.6363636363636362,0.8695652173913044,0.5681818181818183,0.5081967213114755,0.458,0.346,0.617647058823529,0.6,1.0,0.6086956521739133,0.31818181818181823,0.3720930232558134,0.7956204379562046
24,Phoenix Suns,0.485,0.364,0.45833333333333276,0.8870967741935479,0.6470588235294115,0.3636363636363637,0.7826086956521738,0.4545454545454547,0.9098360655737698,0.444,0.34,0.5735294117647058,0.7400000000000005,0.689655172413793,0.8695652173913044,0.636363636363636,0.25581395348837155,0.7956204379562046
25,Portland Trail Blazers,0.442,0.346,0.12499999999999975,0.16129032258064507,0.4705882352941175,0.3939393939393939,0.4347826086956522,0.1818181818181812,0.2049180327868852,0.479,0.371,0.5441176470588232,0.0,0.44827586206896575,0.4347826086956522,0.4772727272727271,0.3720930232558134,0.22627737226277433
26,Sacramento Kings,0.46,0.344,0.12499999999999975,0.29032258064516125,0.23529411764705874,0.3939393939393939,0.5217391304347827,0.6818181818181821,0.5409836065573764,0.479,0.372,0.382352941176471,0.2600000000000001,0.48275862068965525,0.5217391304347827,0.36363636363636354,0.5813953488372092,0.17518248175182516
27,San Antonio Spurs,0.467,0.352,0.45833333333333276,0.9677419354838706,0.352941176470588,0.5151515151515152,0.8260869565217394,0.8636363636363633,0.7786885245901638,0.466,0.36,0.2352941176470591,0.5200000000000002,0.7586206896551724,0.4782608695652173,0.4318181818181819,0.25581395348837155,0.37956204379562053
28,Toronto Raptors,0.445,0.349,0.45833333333333276,0.032258064516129475,0.764705882352941,0.4242424242424241,0.8695652173913044,0.5227272727272723,0.4672131147540985,0.462,0.354,0.6470588235294119,0.2600000000000001,0.9655172413793102,0.39130434782608714,0.8863636363636364,0.30232558139534893,0.8102189781021902
29,Utah Jazz,0.471,0.36,0.5972222222222215,0.08064516129032254,0.23529411764705874,0.5151515151515152,0.5434782608695652,0.6818181818181821,0.8114754098360647,0.453,0.35,1.0,0.6400000000000006,0.5862068965517242,0.7391304347826089,0.022727272727272645,0.5813953488372092,0.7737226277372268
30,Washington Wizards,0.472,0.342,0.1527777777777779,0.5,0.0,0.5454545454545454,0.7391304347826089,0.7045454545454544,0.4016393442622943,0.464,0.361,0.617647058823529,0.5800000000000004,0.7586206896551724,0.7826086956521738,0.0,0.48837209302325524,0.45255474452554756
