away_PTS,away_op_PTS,away_AST,away_TRB,away_TOV,away_PF,home_PTS,home_op_PTS,home_AST,home_TRB,home_TOV,home_PF,Date,away,away_PTS,home,home_PTS
0.3360655737704912,0.9124087591240874,0.5322580645161289,0.3055555555555558,0.4565217391304347,1.0,0.7540983606557378,0.4452554744525553,0.5483870967741936,0.333333333333333,0.5217391304347827,0.340909090909091,Tue Apr 12 2022,Cleveland Cavaliers,108,Brooklyn Nets,115
0.3852459016393444,0.7153284671532842,0.3387096774193549,0.2777777777777777,0.6086956521739133,0.7499999999999996,1.0,0.3576642335766427,0.6129032258064514,0.3055555555555558,0.4782608695652173,0.0227272727272722,Tue Apr 12 2022,Los Angeles Clippers,104,Minnesota Timberwolves,109
0.9508196721311468,0.2408759124087588,1.0,0.3611111111111111,0.6956521739130435,0.4545454545454547,0.8360655737704918,0.4233576642335763,0.4354838709677422,0.2777777777777777,1.0,0.7272727272727273,Wed Apr 13 2022,Charlotte Hornets,103,Atlanta Hawks,132
0.7786885245901638,0.3795620437956205,0.9677419354838706,0.4583333333333327,0.8260869565217394,0.8636363636363633,0.4590163934426223,0.5766423357664237,0.5,0.4444444444444446,0.5217391304347827,0.5,Wed Apr 13 2022,San Antonio Spurs,103,New Orleans Pelicans,113
0.8360655737704918,0.4233576642335763,0.4354838709677422,0.2777777777777777,1.0,0.7272727272727273,0.3360655737704912,0.9124087591240874,0.5322580645161289,0.3055555555555558,0.4565217391304347,1.0,Fri Apr 15 2022,Atlanta Hawks,107,Cleveland Cavaliers,101
0.4590163934426223,0.5766423357664237,0.5,0.4444444444444446,0.5217391304347827,0.5,0.3852459016393444,0.7153284671532842,0.3387096774193549,0.2777777777777777,0.6086956521739133,0.7499999999999996,Fri Apr 15 2022,New Orleans Pelicans,105,Los Angeles Clippers,101
0.8114754098360647,0.7737226277372268,0.0806451612903225,0.5972222222222215,0.5434782608695652,0.6818181818181821,0.3524590163934423,0.9854014598540144,0.2419354838709676,0.1388888888888888,0.8695652173913044,0.5,Sat Apr 16 2022,Utah Jazz,99,Dallas Mavericks,93
1.0,0.3576642335766427,0.6129032258064514,0.3055555555555558,0.4782608695652173,0.0227272727272722,0.9754098360655729,0.6058394160583938,0.6612903225806451,1.0,0.7173913043478263,0.4772727272727269,Sat Apr 16 2022,Minnesota Timberwolves,130,Memphis Grizzlies,117
0.4672131147540985,0.8102189781021902,0.0322580645161294,0.4583333333333327,0.8695652173913044,0.5227272727272723,0.5081967213114755,0.7956204379562046,0.2903225806451612,0.0416666666666662,0.8695652173913044,0.5681818181818183,Sat Apr 16 2022,Toronto Raptors,111,Philadelphia 76ers,131
0.7377049180327867,0.5693430656934304,0.9516129032258064,0.2916666666666667,0.4347826086956522,0.4318181818181816,0.5983606557377046,0.927007299270073,0.8387096774193549,0.4861111111111109,0.3478260869565217,0.2045454545454542,Sat Apr 16 2022,Denver Nuggets,107,Golden State Warriors,123
0.8360655737704918,0.4233576642335763,0.4354838709677422,0.2777777777777777,1.0,0.7272727272727273,0.5163934426229505,0.9197080291970808,0.5806451612903225,0.2361111111111114,0.4130434782608696,0.318181818181818,Sun Apr 17 2022,Atlanta Hawks,91,Miami Heat,115
0.7540983606557378,0.4452554744525553,0.5483870967741936,0.333333333333333,0.5217391304347827,0.340909090909091,0.6639344262295076,1.0,0.4677419354838711,0.5694444444444444,0.6304347826086958,0.7727272727272727,Sun Apr 17 2022,Brooklyn Nets,114,Boston Celtics,115
0.6475409836065565,0.4525547445255475,0.3225806451612901,0.0416666666666662,0.8043478260869564,0.7045454545454544,0.967213114754098,0.4452554744525553,0.3225806451612901,0.6527777777777779,0.6739130434782609,0.840909090909091,Sun Apr 17 2022,Chicago Bulls,86,Milwaukee Bucks,93
0.4590163934426223,0.5766423357664237,0.5,0.4444444444444446,0.5217391304347827,0.5,0.9098360655737698,0.7956204379562046,0.8870967741935479,0.4583333333333327,0.7826086956521738,0.4545454545454547,Sun Apr 17 2022,New Orleans Pelicans,99,Phoenix Suns,110
0.4672131147540985,0.8102189781021902,0.0322580645161294,0.4583333333333327,0.8695652173913044,0.5227272727272723,0.5081967213114755,0.7956204379562046,0.2903225806451612,0.0416666666666662,0.8695652173913044,0.5681818181818183,Mon Apr 18 2022,Toronto Raptors,97,Philadelphia 76ers,112
0.8114754098360647,0.7737226277372268,0.0806451612903225,0.5972222222222215,0.5434782608695652,0.6818181818181821,0.3524590163934423,0.9854014598540144,0.2419354838709676,0.1388888888888888,0.8695652173913044,0.5,Mon Apr 18 2022,Utah Jazz,104,Dallas Mavericks,110
0.7377049180327867,0.5693430656934304,0.9516129032258064,0.2916666666666667,0.4347826086956522,0.4318181818181816,0.5983606557377046,0.927007299270073,0.8387096774193549,0.4861111111111109,0.3478260869565217,0.2045454545454542,Mon Apr 18 2022,Denver Nuggets,106,Golden State Warriors,126
0.8360655737704918,0.4233576642335763,0.4354838709677422,0.2777777777777777,1.0,0.7272727272727273,0.5163934426229505,0.9197080291970808,0.5806451612903225,0.2361111111111114,0.4130434782608696,0.318181818181818,Tue Apr 19 2022,Atlanta Hawks,105,Miami Heat,115
1.0,0.3576642335766427,0.6129032258064514,0.3055555555555558,0.4782608695652173,0.0227272727272722,0.9754098360655729,0.6058394160583938,0.6612903225806451,1.0,0.7173913043478263,0.4772727272727269,Tue Apr 19 2022,Minnesota Timberwolves,96,Memphis Grizzlies,124
